"ciudad","anio","modalidad_de_contratacion","contratos","valor"
"Ráquira","2025","Mínima cuantía","17","347943431.96"
"Campohermoso","2023","Contratación régimen especial (con ofertas)","1","479779000"
"La Uvita","2020","Contratación régimen especial (con ofertas)","1","33926425"
"Chiquinquirá","2021","Contratación régimen especial (con ofertas)","2","270000000"
"Duitama","2020","Contratación régimen especial","1","20000000000"
"Betéitiva","2026","Contratación directa","54","939696704"
"Paz De Río","2024","Contratación régimen especial","10","593766807"
"Tinjacá","2025","Contratación régimen especial (con ofertas)","10","1501903881.32"
"Saboyá","2020","Contratación régimen especial (con ofertas)","2","751666026.34"
"San Eduardo","2025","Contratación directa","55","1275379660.43"
"Paz De Río","2023","Contratación directa","5","150684600"
"Oicatá","2026","Mínima cuantía","24","524223544.83"
"Caldas","2025","Selección Abreviada de Menor Cuantía","15","2388358514.91"
"Sogamoso","2022","Selección Abreviada de Menor Cuantía","32","7967154186.30"
"Campohermoso","2025","Contratación régimen especial (con ofertas)","10","3274431457.79"
"Puerto Boyacá","2023","Mínima cuantía","145","2868419356.57"
"Pesca","2024","Contratación régimen especial (con ofertas)","14","2937644176.20"
"Tunja","2022","Contratación Directa (con ofertas)","66","19372426594"
"Chiquinquirá","2021","Contratación Directa (con ofertas)","29","3511696899.92"
"San Eduardo","2025","Concurso de méritos abierto","2","734140581"
"Samacá","2026","Contratación directa","256","5850324753.8"
"San Eduardo","2024","Mínima cuantía","47","793885464.4"
"Garagoa","2026","Contratación directa","88","4352006043.27"
"Sogamoso","2020","Contratación directa","459","14247037295"
"San Miguel De Sema","2024","Contratación régimen especial (con ofertas)","6","1400683290.41"
"Guateque","2023","Contratación directa","13","46999000"
"Ciénega","2018","Contratación régimen especial (con ofertas)","1","275635374"
"Sotaquirá","2023","Contratación directa","2","13170000"
"Puerto Boyacá","2026","Contratación régimen especial","51","2845571652"
"Chita","2024","Contratación directa","127","2117267860.8"
"Chita","2023","Contratación directa","10","41577734"
"Pachavita","2024","Mínima cuantía","13","237107348.55"
"Gameza","2020","Contratación régimen especial (con ofertas)","3","328118000"
"Turmequé","2026","Contratación régimen especial (con ofertas)","2","571996250"
"Santana","2023","Contratación directa","36","119780958"
"Sora","2025","Contratación directa","85","1261370470.6"
"Duitama","2025","Selección abreviada subasta inversa","2","1545445105"
"No Definido","2021","Concurso de méritos abierto","2","317906882"
"Puerto Boyacá","2023","Selección abreviada subasta inversa","16","2561463554"
"Cerinza","2026","Contratación régimen especial (con ofertas)","8","1102563246.69"
"Maripí","2022","Contratación régimen especial (con ofertas)","3","1098358411.89"
"Miraflores","2021","Contratación régimen especial","2","105739000"
"Soatá","2023","Contratación régimen especial (con ofertas)","3","600854571"
"Guateque","2025","Contratación régimen especial","3","752851044"
"Ráquira","2025","Contratación Directa (con ofertas)","4","211904000"
"Tutazá","2022","Contratación régimen especial (con ofertas)","2","429703228"
"Rondón","2021","Contratación régimen especial (con ofertas)","1","225214000"
"Miraflores","2023","Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes","2","1063814707.05"
"Boavita","2025","Mínima cuantía","66","1365088683.61"
"Paya","2025","Concurso de méritos abierto","4","608867960"
"Gameza","2023","Contratación directa","1","9937000"
"Villa De Leyva","2026","Licitación pública","2","1271075277"
"Garagoa","2023","Contratación directa","58","1215939922.39"
